Timestamp,Date,Date UTC,Open,High,Low,Close,Volume
1722352500,30-07-2024,1722352500,217.36,217.58,217.17,217.23,498823
1722352800,30-07-2024,1722352800,217.24,217.45,217.18,217.42,328919
1722353100,30-07-2024,1722353100,217.43,217.53,217.25,217.29,297941
1722353400,30-07-2024,1722353400,217.28,217.54,217.06,217.36,373702
1722353700,30-07-2024,1722353700,217.34,217.51,216.8,216.93,479312
1722354000,30-07-2024,1722354000,216.94,217.02,216.33,216.52,530247
1722354300,30-07-2024,1722354300,216.51,216.72,216.51,216.69,258095
1722354600,30-07-2024,1722354600,216.68,216.75,216.5,216.57,255807
1722354900,30-07-2024,1722354900,216.57,216.69,216.5,216.54,243104
1722355200,30-07-2024,1722355200,216.55,216.94,216.55,216.89,290610
1722355500,30-07-2024,1722355500,216.9,217.16,216.8,217.04,246188
1722355800,30-07-2024,1722355800,217.05,217.16,216.91,217.14,202114
1722356100,30-07-2024,1722356100,217.13,217.22,216.87,217.03,205832
1722356400,30-07-2024,1722356400,217.04,217.07,216.64,216.65,241003
1722356700,30-07-2024,1722356700,216.67,216.99,216.6,216.98,211107
1722357000,30-07-2024,1722357000,216.96,216.99,216.73,216.89,159848
1722357300,30-07-2024,1722357300,216.9,217.21,216.77,217.12,420932
1722357600,30-07-2024,1722357600,217.11,217.21,216.97,217.14,184164
1722357900,30-07-2024,1722357900,217.12,217.16,216.81,216.84,170414
1722358200,30-07-2024,1722358200,216.81,217.03,216.3,216.35,384774
1722358500,30-07-2024,1722358500,216.35,216.48,216.15,216.15,405846
1722358800,30-07-2024,1722358800,216.17,216.61,216.12,216.49,371610
1722359100,30-07-2024,1722359100,216.49,217,216.4,216.99,339124
1722359400,30-07-2024,1722359400,216.98,217.21,216.91,217.12,257138
1722359700,30-07-2024,1722359700,217.08,217.35,217.08,217.2,221096
1722360000,30-07-2024,1722360000,217.22,217.35,217.02,217.06,188702
1722360300,30-07-2024,1722360300,217.02,217.27,216.91,217.25,262092
1722360600,30-07-2024,1722360600,217.24,217.25,216.96,217.12,216650
1722360900,30-07-2024,1722360900,217.09,217.4,217,217.31,201194
1722361200,30-07-2024,1722361200,217.3,217.41,217.1,217.4,235139
1722361500,30-07-2024,1722361500,217.4,217.45,217.23,217.43,255156
1722361800,30-07-2024,1722361800,217.42,217.48,217.33,217.45,166063
1722362100,30-07-2024,1722362100,217.45,217.61,217.4,217.59,192020
1722362400,30-07-2024,1722362400,217.59,217.86,217.58,217.85,312524
1722362700,30-07-2024,1722362700,217.86,218.01,217.85,217.95,305780
1722363000,30-07-2024,1722363000,217.93,218.2,217.93,218.12,245711
1722363300,30-07-2024,1722363300,218.13,218.47,218.13,218.46,300775
1722363600,30-07-2024,1722363600,218.46,218.68,218.42,218.66,407463
1722363900,30-07-2024,1722363900,218.66,218.74,218.18,218.29,307627
1722364200,30-07-2024,1722364200,218.28,218.46,218.17,218.21,181243
1722364500,30-07-2024,1722364500,218.21,218.37,218.11,218.3,193390
1722364800,30-07-2024,1722364800,218.3,218.35,218.1,218.24,176639
1722365100,30-07-2024,1722365100,218.25,218.3,218.02,218.12,229516
1722365400,30-07-2024,1722365400,218.12,218.39,218.11,218.29,218623
1722365700,30-07-2024,1722365700,218.3,218.35,217.97,218.2,340325
1722366000,30-07-2024,1722366000,218.21,218.28,217.98,218.13,213449
1722366300,30-07-2024,1722366300,218.15,218.37,218.15,218.23,283091
1722366600,30-07-2024,1722366600,218.23,218.26,218,218.13,257795
1722366900,30-07-2024,1722366900,218.11,218.43,218.11,218.38,331798
1722367200,30-07-2024,1722367200,218.39,218.61,218.25,218.57,306831
1722367500,30-07-2024,1722367500,218.57,218.71,218.37,218.63,595546
